info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:13:53"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:13:56"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:15:00"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:15:23"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:15:23"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:15:24"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:15:32"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:16:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:16:39"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:17:08"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:17:08"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:17:31"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:18:17"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:18:17"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:18:28"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:18:28"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:18:36"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:18:36"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:36"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:40"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:41"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:42"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:44"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:18:52"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:18:52"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:18:54"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:19:02"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:19:02"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:19:04"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:19:28"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:19:28"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:19:30"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:19:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:19:38"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:19:40"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:19:41"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:19:49"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:19:49"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:19:52"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:20:05"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:20:05"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:20:11"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:21:21"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:21:21"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:21:24"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:22:08"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:22:08"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:22:45"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:22:45"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:22:47"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:22:50"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:24:42"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:24:42"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:24:44"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:24:52"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:24:52"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:25:00"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:25:00"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:25:02"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:25:42"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:25:42"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:25:58"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:25:58"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:26:27"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:26:28"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:26:39"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:26:53"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:26:53"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:26:55"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:27:34"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:28:06"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:28:06"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:28:13"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:28:13"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:28:17"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:41:59"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:41:59"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:42:28"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:42:28"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:43:32"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:43:32"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:43:46"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:43:46"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:43:50"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:44:13"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:44:13"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:44:16"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:44:54"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:44:54"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:44:56"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:45:16"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:45:16"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:45:18"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:45:38"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:45:38"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:46:28"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:46:28"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:47:06"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:47:06"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:47:16"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:47:16"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:47:33"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:47:33"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:47:37"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:47:37"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:48:24"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:48:24"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:48:34"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:49:03"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:49:05"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:49:18"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:49:18"}
error: 	TokenNotFound: Access Token Not Available. {"label":"checkRoutes","timestamp":"2021-10-30 06:49:25"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:50:15"}
info: 	Connected Successfully {"label":"Database","timestamp":"2021-10-30 06:50:15"}
info: 	Server running on port : 2022 {"timestamp":"2021-10-30 06:50:22"}
